Weapon,Skin,Rarity,Case,Price
MP9,Rose Iron,Restricted SMG,Winter Offensive Weapon Case,6.5
MP9,Hypnotic,Restricted SMG,CS:GO Weapon Case 2,1.34
MP9,Featherweight,Mil-Spec SMG,Revolution Case,0.08
MP9,Modest Threat,Mil-Spec SMG,Danger Zone Case,0.08
MP9,Capillary,Mil-Spec SMG,Horizon Case,0.15
MP9,Black Sand,Mil-Spec SMG,Clutch Case,0.07
MP9,Sand Scale,Mil-Spec SMG,Glove Case,0.1
MP9,Bioleak,Mil-Spec SMG,Chroma 3 Case,0.09
MP9,Deadly Poison,Mil-Spec SMG,Chroma Case,0.2
MP9,Dart,Mil-Spec SMG,Operation Vanguard Weapon Case,0.46
PP-Bizon,Judgement of Anubis,Covert SMG,Chroma 3 Case,5.37
PP-Bizon,High Roller,Classified SMG,Spectrum 2 Case,2.53
PP-Bizon,Space Cat,Restricted SMG,Dreams & Nightmares Case,0.21
PP-Bizon,Embargo,Restricted SMG,Shattered Web Case,1.97
PP-Bizon,Fuel Rod,Restricted SMG,Revolver Case,0.77
PP-Bizon,Blue Streak,Restricted SMG,eSports 2014 Summer Case,1.69
PP-Bizon,Osiris,Restricted SMG,Operation Breakout Weapon Case,0.57
PP-Bizon,Antique,Restricted SMG,Huntsman Weapon Case,7.7
PP-Bizon,Lumen,Mil-Spec SMG,Operation Riptide Case,0.4
PP-Bizon,Runic,Mil-Spec SMG,Fracture Case,0.07
PP-Bizon,Night Riot,Mil-Spec SMG,Clutch Case,0.07
PP-Bizon,Jungle Slipstream,Mil-Spec SMG,Spectrum Case,0.19
PP-Bizon,Harvester,Mil-Spec SMG,Gamma Case,0.11
PP-Bizon,Photic Zone,Mil-Spec SMG,Operation Wildfire Case,0.62
PP-Bizon,Water Sigil,Mil-Spec SMG,eSports 2013 Winter Case,1.38
PP-Bizon,Cobalt Halftone,Mil-Spec SMG,Winter Offensive Weapon Case,0.96
P90,Asiimov,Covert SMG,Operation Breakout Weapon Case,8.57
P90,Death by Kitty,Covert SMG,eSports 2013 Case,43.29
P90,Nostalgia,Classified SMG,CS20 Case,5.22
P90,Shallow Grave,Classified SMG,Glove Case,1.69
P90,Shapewood,Classified SMG,Revolver Case,1.73
P90,Trigon,Classified SMG,Operation Phoenix Weapon Case,8.81
P90,Cold Blooded,Classified SMG,CS:GO Weapon Case 2,1.34
P90,Emerald Dragon,Classified SMG,Operation Bravo Case,107.22
P90,Neoqueen,Restricted SMG,Revolution Case,0.42
P90,Vent Rush,Restricted SMG,Recoil Case,0.53
P90,Death Grip,Restricted SMG,Operation Hydra Case,7.19
P90,Chopper,Restricted SMG,Gamma Case,0.5
P90,Virus,Restricted SMG,eSports 2014 Summer Case,1.62
P90,Blind Spot,Restricted SMG,eSports 2013 Winter Case,8.99
P90,Cocoa Rampage,Mil-Spec SMG,Operation Broken Fang Case,0.54
P90,Freight,Mil-Spec SMG,Fracture Case,0.07
P90,Off World,Mil-Spec SMG,Prisma Case,0.12
P90,Traction,Mil-Spec SMG,Horizon Case,0.15
P90,Grim,Mil-Spec SMG,Gamma 2 Case,0.1
P90,Elite Build,Mil-Spec SMG,Falchion Case,0.23
P90,Module,Mil-Spec SMG,Huntsman Weapon Case,2.73
P90,Desert Warfare,Mil-Spec SMG,The Huntsman Collection,2.69
UMP-45,Wild Child,Classified SMG,Revolution Case,2.73
UMP-45,Momentum,Classified SMG,Danger Zone Case,3.34
UMP-45,Primal Saber,Classified SMG,Chroma 3 Case,2.18
UMP-45,Gold Bismuth,Restricted SMG,Operation Broken Fang Case,2.79
UMP-45,Plastique,Restricted SMG,CS20 Case,0.66
UMP-45,Moonrise,Restricted SMG,Prisma Case,0.28
UMP-45,Arctic Wolf,Restricted SMG,Clutch Case,0.29
UMP-45,Exposure,Restricted SMG,Spectrum 2 Case,0.37
UMP-45,Scaffold,Restricted SMG,Spectrum Case,1.49
UMP-45,Grand Prix,Restricted SMG,Chroma 2 Case,0.35
UMP-45,Roadblock,Mil-Spec SMG,Recoil Case,0.07
UMP-45,Oscillator,Mil-Spec SMG,Snakebite Case,0.09
UMP-45,Metal Flowers,Mil-Spec SMG,Operation Hydra Case,3.22
UMP-45,Briefing,Mil-Spec SMG,Gamma 2 Case,0.09
UMP-45,Riot,Mil-Spec SMG,Falchion Case,0.25
UMP-45,Delusion,Mil-Spec SMG,Operation Vanguard Weapon Case,0.4
UMP-45,Labyrinth,Mil-Spec SMG,Operation Breakout Weapon Case,0.08
UMP-45,Corporal,Mil-Spec SMG,Operation Phoenix Weapon Case,0.24
UMP-45,Bone Pile,Mil-Spec SMG,Operation Bravo Case,8.81
MAG-7,Justice,Classified Shotgun,Prisma 2 Case,2.39
MAG-7,BI83 Spectrum,Restricted Shotgun,Operation Riptide Case,0.74
MAG-7,Monster Call,Restricted Shotgun,Fracture Case,0.4
MAG-7,SWAG-7,Restricted Shotgun,Clutch Case,0.31
MAG-7,Petroglyph,Restricted Shotgun,Gamma 2 Case,0.31
MAG-7,Praetorian,Restricted Shotgun,Operation Wildfire Case,2.48
MAG-7,Heat,Restricted Shotgun,Chroma 2 Case,0.34
MAG-7,Insomnia,Mil-Spec Shotgun,Revolution Case,0.08
MAG-7,Foresight,Mil-Spec Shotgun,Dreams & Nightmares Case,0.07
MAG-7,Popdog,Mil-Spec Shotgun,CS20 Case,0.15
MAG-7,Hard Water,Mil-Spec Shotgun,Operation Hydra Case,3.68
MAG-7,Sonar,Mil-Spec Shotgun,Glove Case,0.09
MAG-7,Cobalt Core,Mil-Spec Shotgun,Shadow Case,0.16
MAG-7,Firestarter,Mil-Spec Shotgun,Operation Vanguard Weapon Case,0.39
MAG-7,Heaven Guard,Mil-Spec Shotgun,Operation Phoenix Weapon Case,0.27
MAG-7,Memento,Mil-Spec Shotgun,eSports 2013 Case,3.88
Nova,Hyper Beast,Classified Shotgun,Operation Wildfire Case,15.29
Nova,Bloomstick,Classified Shotgun,eSports 2014 Summer Case,7.33
Nova,Antique,Classified Shotgun,Operation Phoenix Weapon Case,10.76
Nova,Clear Polymer,Restricted Shotgun,Operation Broken Fang Case,2.76
Nova,Toy Soldier,Restricted Shotgun,Horizon Case,0.8
Nova,Wild Six,Restricted Shotgun,Clutch Case,0.28
Nova,Gila,Restricted Shotgun,Glove Case,0.38
Nova,Koi,Restricted Shotgun,Operation Breakout Weapon Case,0.69
Nova,Rising Skull,Restricted Shotgun,Winter Offensive Weapon Case,5.45
Nova,Graphite,Restricted Shotgun,CS:GO Weapon Case 2,1.34
Nova,Windblown,Mil-Spec Shotgun,Snakebite Case,0.1
Nova,Plume,Mil-Spec Shotgun,Shattered Web Case,1.08
Nova,Wood Fired,Mil-Spec Shotgun,Danger Zone Case,0.08
Nova,Exo,Mil-Spec Shotgun,Gamma Case,0.12
Nova,Ranger,Mil-Spec Shotgun,Falchion Case,0.27
Nova,Ghost Camo,Mil-Spec Shotgun,eSports 2013 Winter Case,1.26
Nova,Tempest,Mil-Spec Shotgun,Operation Bravo Case,7.61
Sawed-Off,The Kraken,Covert Shotgun,Winter Offensive Weapon Case,5.17
Sawed-Off,Kiss♥Love,Classified Shotgun,Recoil Case,3.0
Sawed-Off,Devourer,Classified Shotgun,Horizon Case,3.73
Sawed-Off,Wasteland Princess,Classified Shotgun,Glove Case,1.61
Sawed-Off,Apocalypto,Restricted Shotgun,Prisma 2 Case,0.34
Sawed-Off,Limelight,Restricted Shotgun,Gamma Case,0.46
Sawed-Off,Serenity,Restricted Shotgun,Chroma Case,1.27
Sawed-Off,Highwayman,Restricted Shotgun,Operation Vanguard Weapon Case,0.82
Sawed-Off,Orange DDPAT,Restricted Shotgun,eSports 2013 Case,13.75
Sawed-Off,Spirit Board,Mil-Spec Shotgun,Dreams & Nightmares Case,0.07
